event_date,new,retained,total,app::multi-filter
2017-01-30,1425,4476,5901,BadPiggiesFull
2017-01-30,4580,11223,15803,AngryBirdsRioFull
2017-01-30,144,912,1056,Purple
2017-01-30,867,551,1418,toonstvkidoz_c161558
2017-01-30,2125,4607,6732,AngryBirdsStarWarsFull
2017-01-30,33,223,256,toonstvappletv_7c3cb333
2017-01-30,88,103,191,abactionchina_49cba9cb
2017-01-30,3111,142,3253,rovio_3bb4586d
2017-01-30,4635,321,4956,ChannelWeb
2017-01-30,308,2645,2953,ChannelRoku
2017-01-30,1471,3211,4682,Yellow
2017-01-30,4120,6004,10124,Abba
2017-01-30,,1,1,abbafortumo_6df226f7
2017-01-30,537,1543,2080,toonstvmade4samsung_6d2a0fc4
2017-01-30,246,459,705,PurpleChina
2017-01-30,910,2300,3210,Gold
2017-01-30,101,641,742,purpleamazonfire_74641a18
2017-01-30,19,32,51,tntgame_149fb4d3
2017-01-30,172,383,555,popcorn_7901fbf5
2017-01-30,221,573,794,Birdkeeper
2017-01-30,1114,3496,4610,AngryBirdsFriends
2017-01-30,4187,12077,16264,AngryBirdsClassic
2017-01-30,4714,7512,12226,AngryBirdsSpaceFull
2017-01-30,2045,11076,13121,ChannelSmartTv
2017-01-30,641,5365,6006,AngryBirdsClassicLight
2017-01-30,67,498,565,AngryBirdsSpaceLight
2017-01-30,609,1167,1776,AngryBirdsClassicTalkweb
2017-01-30,8,76,84,ChannelAngryBirdsRoost
2017-01-30,197,1020,1217,AngryBirdsStarWarsLight
2017-01-30,4683,23988,28671,Toonstv
2017-01-30,225,182,407,angrybirdsfortumo_7bf816e1
2017-01-30,1085,2339,3424,AngryBirdsSeasonsFull
2017-01-30,964,448,1412,abactionchinaandroid_1d7ba513
2017-01-30,83,642,725,BadPiggiesLight
2017-01-30,1,3,4,abbakunluniosgpchina_1fffd0c2
2017-01-30,2046,6727,8773,Crimson
2017-01-30,1053,3707,4760,BlueSteel
2017-01-30,90,768,858,badpiggiesodyssey_38481962
2017-02-19,4776,14012,18788,AngryBirdsClassic
2017-02-19,783,2822,3605,AngryBirdsSeasonsFull
2017-02-19,81,608,689,AngryBirdsSpaceLight
2017-02-19,183,1114,1297,Purple
2017-02-19,1527,5291,6818,BadPiggiesFull
2017-02-19,937,6925,7862,AngryBirdsClassicLight
2017-02-19,163,459,622,popcorn_7901fbf5
2017-02-19,4797,310,5107,ChannelWeb
2017-02-19,604,1953,2557,toonstvmade4samsung_6d2a0fc4
2017-02-19,1,1,2,abbakunluniosgpchina_1fffd0c2
2017-02-19,4038,988,5026,rovio_3bb4586d
2017-02-19,2349,5833,8182,AngryBirdsStarWarsFull
2017-02-19,2,1,3,abbafortumo_6df226f7
2017-02-19,324,277,601,abactionchinaandroid_1d7ba513
2017-02-19,4019,13274,17293,AngryBirdsRioFull
2017-02-19,406,1212,1618,AngryBirdsClassicTalkweb
2017-02-19,2024,4723,6747,Yellow
2017-02-19,2581,13011,15592,ChannelSmartTv
2017-02-19,24,31,55,tntgame_149fb4d3
2017-02-19,1573,5292,6865,BlueSteel
2017-02-19,1460,4349,5809,AngryBirdsFriends
2017-02-19,98,885,983,BadPiggiesLight
2017-02-19,567,241,808,toonstvkidoz_c161558
2017-02-19,4075,8051,12126,AngryBirdsSpaceFull
2017-02-19,6522,30261,36783,Toonstv
2017-02-19,258,978,1236,Birdkeeper
2017-02-19,5904,8770,14674,Abba
2017-02-19,1803,7851,9654,Crimson
2017-02-19,1151,2706,3857,Gold
2017-02-19,270,1275,1545,AngryBirdsStarWarsLight
2017-02-19,38,60,98,abactionchina_49cba9cb
2017-02-19,135,326,461,PurpleChina
2017-02-19,194,228,422,angrybirdsfortumo_7bf816e1
2017-02-19,63,278,341,toonstvappletv_7c3cb333
2017-02-19,436,3446,3882,ChannelRoku
2017-02-19,108,918,1026,badpiggiesodyssey_38481962
2017-02-19,16,88,104,ChannelAngryBirdsRoost
2017-02-19,133,886,1019,purpleamazonfire_74641a18
2017-01-03,2488,5256,7744,AngryBirdsStarWarsFull
2017-01-03,1901,3457,5358,Yellow
2017-01-03,3258,5889,9147,AngryBirdsSpaceFull
2017-01-03,396,2817,3213,ChannelRoku
2017-01-03,338,1225,1563,AngryBirdsStarWarsLight
2017-01-03,4586,6311,10897,Abba
2017-01-03,4464,310,4774,ChannelWeb
2017-01-03,6512,24898,31410,Toonstv
2017-01-03,600,1381,1981,toonstvmade4samsung_6d2a0fc4
2017-01-03,15,57,72,abactionchina_49cba9cb
2017-01-03,461,156,617,toonstvkidoz_c161558
2017-01-03,44,45,89,tntgame_149fb4d3
2017-01-03,123,797,920,badpiggiesodyssey_38481962
2017-01-03,2408,6766,9174,Crimson
2017-01-03,217,186,403,abactionchinaandroid_1d7ba513
2017-01-03,191,637,828,purpleamazonfire_74641a18
2017-01-03,155,996,1151,Purple
2017-01-03,853,6078,6931,AngryBirdsClassicLight
2017-01-03,1612,4897,6509,BadPiggiesFull
2017-01-03,5672,11834,17506,AngryBirdsRioFull
2017-01-03,1491,3854,5345,BlueSteel
2017-01-03,1456,3444,4900,AngryBirdsFriends
2017-01-03,3352,10776,14128,ChannelSmartTv
2017-01-03,1,1,2,toonsclientsdk_3f59016a
2017-01-03,169,394,563,popcorn_7901fbf5
2017-01-03,1226,2434,3660,Gold
2017-01-03,3388,106,3494,rovio_3bb4586d
2017-01-03,,1,1,badpiggiestest_a28c1aa
2017-01-03,43,176,219,PurpleChina
2017-01-03,82,587,669,AngryBirdsSpaceLight
2017-01-03,182,650,832,Birdkeeper
2017-01-03,82,793,875,BadPiggiesLight
2017-01-03,646,2457,3103,AngryBirdsSeasonsFull
2017-01-03,5633,13618,19251,AngryBirdsClassic
2017-01-03,208,741,949,AngryBirdsClassicTalkweb
2017-01-03,48,197,245,toonstvappletv_7c3cb333
2017-01-03,2,2,4,abbakunluniosgpchina_1fffd0c2
2017-01-03,,2,2,abbafortumo_6df226f7
2017-01-03,17,92,109,ChannelAngryBirdsRoost
2017-01-03,314,235,549,angrybirdsfortumo_7bf816e1
2017-02-16,3989,10839,14828,AngryBirdsRioFull
2017-02-16,670,2122,2792,AngryBirdsSeasonsFull
2017-02-16,4039,10568,14607,AngryBirdsClassic
2017-02-16,1556,3285,4841,Yellow
2017-02-16,1072,3739,4811,BlueSteel
2017-02-16,1319,4414,5733,BadPiggiesFull
2017-02-16,7205,7185,14390,Abba
2017-02-16,160,357,517,popcorn_7901fbf5
2017-02-16,20,32,52,tntgame_149fb4d3
2017-02-16,1923,6294,8217,Crimson
2017-02-16,137,515,652,Birdkeeper
2017-02-16,1,4,5,abbakunluniosgpchina_1fffd0c2
2017-02-16,37,207,244,toonstvappletv_7c3cb333
2017-02-16,288,226,514,abactionchinaandroid_1d7ba513
2017-02-16,5,3,8,spilgames_64ada0f8
2017-02-16,91,757,848,badpiggiesodyssey_38481962
2017-02-16,1994,4533,6527,AngryBirdsStarWarsFull
2017-02-16,65,492,557,AngryBirdsSpaceLight
2017-02-16,116,641,757,purpleamazonfire_74641a18
2017-02-16,485,1639,2124,toonstvmade4samsung_6d2a0fc4
2017-02-16,34,40,74,abactionchina_49cba9cb
2017-02-16,1,1,2,toonsclientsdk_3f59016a
2017-02-16,168,202,370,angrybirdsfortumo_7bf816e1
2017-02-16,281,2496,2777,ChannelRoku
2017-02-16,664,493,1157,toonstvkidoz_c161558
2017-02-16,3315,6363,9678,AngryBirdsSpaceFull
2017-02-16,55,594,649,BadPiggiesLight
2017-02-16,88,231,319,PurpleChina
2017-02-16,10,80,90,ChannelAngryBirdsRoost
2017-02-16,1890,10755,12645,ChannelSmartTv
2017-02-16,5750,25209,30959,Toonstv
2017-02-16,4083,303,4386,ChannelWeb
2017-02-16,117,757,874,Purple
2017-02-16,663,5301,5964,AngryBirdsClassicLight
2017-02-16,3802,988,4790,rovio_3bb4586d
2017-02-16,818,2057,2875,Gold
2017-02-16,,1,1,silver_3ddc7ced
2017-02-16,178,920,1098,AngryBirdsStarWarsLight
2017-02-16,2,2,4,abbafortumo_6df226f7
2017-02-16,253,868,1121,AngryBirdsClassicTalkweb
2017-02-16,1389,3917,5306,AngryBirdsFriends
2017-01-20,1172,3607,4779,AngryBirdsFriends
2017-01-20,170,625,795,Birdkeeper
2017-01-20,6080,26822,32902,Toonstv
2017-01-20,8633,7069,15702,AngryBirdsSpaceFull
2017-01-20,2459,7104,9563,Crimson
2017-01-20,1,8,9,abbakunluniosgpchina_1fffd0c2
2017-01-20,191,986,1177,Purple
2017-01-20,1573,4839,6412,BadPiggiesFull
2017-01-20,66,87,153,abactionchina_49cba9cb
2017-01-20,1297,3849,5146,BlueSteel
2017-01-20,5188,398,5586,ChannelWeb
2017-01-20,190,370,560,PurpleChina
2017-01-20,854,6409,7263,AngryBirdsClassicLight
2017-01-20,856,2470,3326,AngryBirdsSeasonsFull
2017-01-20,1853,3667,5520,Yellow
2017-01-20,22,70,92,ChannelAngryBirdsRoost
2017-01-20,49,204,253,toonstvappletv_7c3cb333
2017-01-20,1031,681,1712,toonstvkidoz_c161558
2017-01-20,75,740,815,BadPiggiesLight
2017-01-20,209,428,637,popcorn_7901fbf5
2017-01-20,2262,5106,7368,AngryBirdsStarWarsFull
2017-01-20,1092,2665,3757,Gold
2017-01-20,141,650,791,purpleamazonfire_74641a18
2017-01-20,2,1,3,abbafortumo_6df226f7
2017-01-20,3636,149,3785,rovio_3bb4586d
2017-01-20,20,29,49,tntgame_149fb4d3
2017-01-20,5388,13706,19094,AngryBirdsClassic
2017-01-20,5328,12192,17520,AngryBirdsRioFull
2017-01-20,324,283,607,angrybirdsfortumo_7bf816e1
2017-01-20,274,1208,1482,AngryBirdsStarWarsLight
2017-01-20,523,1217,1740,AngryBirdsClassicTalkweb
2017-01-20,551,330,881,abactionchinaandroid_1d7ba513
2017-01-20,541,1598,2139,toonstvmade4samsung_6d2a0fc4
